,Kód obce,Název obce,Název MOMC,Název části obce,Název ulice,Souřadnice Y,Souřadnice X,latitude,longitude
60,554782,Praha,Praha 1,Malá Strana,Dražického,743795.635,1042844.6075,50.087754693510774,14.407282972990165
61,554782,Praha,Praha 1,Malá Strana,Dražického náměstí,743815.8154545454,1042856.7554545455,50.08762172241534,14.407026774729658
62,554782,Praha,Praha 1,Malá Strana,Harantova,744017.0700000001,1043094.2,50.085259761595225,14.404693755761482
63,554782,Praha,Praha 1,Malá Strana,Hellichova,744058.9480952381,1043192.6876190477,50.08433112335469,14.40430196555761
64,554782,Praha,Praha 1,Malá Strana,Hroznová,743767.4022222222,1043018.7077777779,50.0862386349754,14.408005924110185
65,554782,Praha,Praha 1,Malá Strana,Josefská,743918.4377777778,1042786.8622222221,50.088118289574304,14.405472748648407
66,554782,Praha,Praha 1,Malá Strana,Jánská,744491.7041666666,1042703.9491666667,50.08815276942944,14.397378349185646
67,554782,Praha,Praha 1,Malá Strana,Jánský vršek,744398.9013333333,1042754.52,50.08781634986561,14.398759632607904
68,554782,Praha,Praha 1,Malá Strana,Karmelitská,744058.8217647059,1042984.2332352941,50.086187968662514,14.403905949684242
69,554782,Praha,Praha 1,Malá Strana,Klárov,743572.27,1042442.1900000001,50.09161314969258,14.409607689419312
70,554782,Praha,Praha 1,Malá Strana,Kosárkovo nábřeží,743437.425,1042591.89,50.09044521852168,14.411760092716706
71,554782,Praha,Praha 1,Malá Strana,Letenská,743766.2975,1042676.0025,50.08929246375977,14.407367473914597
72,554782,Praha,Praha 1,Malá Strana,Lázeňská,743912.4292857143,1042945.9442857143,50.08670872803237,14.40585944970683
73,554782,Praha,Praha 1,Malá Strana,Malostranské nábřeží,743848.9,1043515.405,50.08171452869371,14.407825179369558
74,554782,Praha,Praha 1,Malá Strana,Malostranské náměstí,744053.7074999999,1042781.6803571429,50.0879983719714,14.403590217308004
75,554782,Praha,Praha 1,Malá Strana,Maltézské náměstí,743961.6100000001,1043020.5811764705,50.085983566687155,14.405321027871727
76,554782,Praha,Praha 1,Malá Strana,Mostecká,743902.9291666667,1042870.8958333334,50.08738884371793,14.40584777918979
77,554782,Praha,Praha 1,Malá Strana,Míšeňská,743754.1433333334,1042860.1333333333,50.0876673297866,14.407886990570276
78,554782,Praha,Praha 1,Malá Strana,Na Kampě,743719.9347058823,1043009.9099999999,50.0863752518254,14.408646253217965
79,554782,Praha,Praha 1,Malá Strana,Na Opyši,743638.99,1042328.7150000001,50.092541995107986,14.408467492666382
80,554782,Praha,Praha 1,Malá Strana,Nebovidská,743957.2966666667,1043162.0883333334,50.08472846314585,14.405650720327891
81,554782,Praha,Praha 1,Malá Strana,Nerudova,744350.4539583334,1042681.6875,50.088524569115776,14.399291268940093
82,554782,Praha,Praha 1,Malá Strana,Nosticova,743896.4190909091,1043163.4827272728,50.084790772324084,14.406496100508095
83,554782,Praha,Praha 1,Malá Strana,Pelclova,743933.81,1043151.8933333332,50.0848481009906,14.405956392773659
84,554782,Praha,Praha 1,Malá Strana,Petřínské sady,744546.4,1043304.776,50.082734110339395,14.397768408105303
85,554782,Praha,Praha 1,Malá Strana,Pod Bruskou,743584.5650000001,1042293.0766666667,50.092926216100366,14.409153035937386
86,554782,Praha,Praha 1,Malá Strana,Prokopská,744013.1166666667,1042938.4466666667,50.08665190134837,14.404451289122209
87,554782,Praha,Praha 1,Malá Strana,Saská,743834.9900000001,1042929.4983333334,50.086950267757004,14.406900102242217
88,554782,Praha,Praha 1,Malá Strana,Sněmovní,744011.86,1042601.1284615385,50.08965791481058,14.403824992211629
89,554782,Praha,Praha 1,Malá Strana,Staré zámecké schody,743669.485,1042383.4883333333,50.09201670413243,14.408149775766583
90,554782,Praha,Praha 1,Malá Strana,Thunovská,744118.9756,1042651.3048,50.089079473660306,14.402437833286498
91,554782,Praha,Praha 1,Malá Strana,Tomášská,743945.46375,1042664.541875,50.08917461259177,14.404865203024963
92,554782,Praha,Praha 1,Malá Strana,Tržiště,744168.94125,1042835.3854166666,50.087378528762756,14.40209746017819
